dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001006181,70.69241,66.6557,64.63734,63.45175,44.48,47.14,1.149425,0,46.27,45.01,1.428571,0,60.89011,54.67541,96.875,90.9091,94.28571,52.46522,52.51879,50.93169,68.89095,0,5,0,3
105001006246,71.72303,71.96504,69.22242,63.18344,44.48,47.14,0,0,48.28,42.42,1.694915,0,77.83028,52.55022,95.29412,76.78571,84.74577,37.22581,20.75743,34.86021,26.19791,0,2,0,7
105001006483,63.14412,61.7915,60.41005,60.7687,47.67,47.14,0,0,46.16,40.975,0,0,37.6129,35.09288,97.05882,91.89189,92.30769,52.55471,50.19769,55.79602,50.02281,0,4,0,4
105001006718,76.29577,72.47375,70.03648,74.43282,42.65,45.01,0,0,46.27,42.42,1.075269,0,51.93589,51.94645,85.79203,93.58974,92.47312,,40.83944,,45.61886,0,5,1,10
105001006980,77.6556,71.36644,73.20613,65.40892,47.67,49.19,1.749271,.2915452,48.28,45.01,2.167183,0,63.96815,46.153,96.9697,55.91398,83.59133,,63.26819,,42.53889,2,8,3,9
105001007111,66.20095,63.05758,60.56594,64.47556,44.48,47.14,0,0,44.05,40.93,0,0,10.08602,50.51004,91.01124,85.89743,84.78262,,,,,0,6,0,2
105001007188,70.41151,65.04269,64.75366,65.8355,44.48,47.14,0,0,46.16,45.16,0,0,37.6129,55.95052,93.50649,86.07595,89.76378,46.31183,54.08036,34.80265,53.57031,1,5,0,7
105001007218,73.94738,72.70853,71.22239,67.59535,47.67,47.14,0,0,46.16,42.42,1.052632,0,37.6129,40.14207,84.0909,90.19608,82.10526,50.13686,56.12054,50.54744,58.84077,1,0,1,4
105001007421,77.1104,70.74101,68.21939,68.75323,44.48,47.14,0,0,48.28,47.59,0,0,77.83028,56.63058,98.73418,,94.73685,60.93706,77.03649,64.44892,34.58195,0,20,2,11
105001007439,59.23926,62.45396,59.08289,57.75525,44.48,47.14,0,0,44.05,42.42,0,0,10.08602,52.55022,100,89.41177,94.54546,47.67742,53.80201,60.18278,52.53467,0,3,0,8
105001007889,66.97778,65.58018,63.54054,66.19788,44.48,43.885,0,0,48.28,47.59,0,0,52.34426,56.63058,93.75,92.45283,88.88889,41.47227,41.66218,51.13142,68.99849,2,6,0,2
105001007978,69.16975,68.60779,69.07986,62.22084,44.48,45.01,0,0,46.27,42.33,0,0,51.93589,50.85007,68.54839,78.84615,81.57895,51.09528,51.45984,51.16129,50.66909,0,3,0,1
105001008249,75.78704,68.60913,68.61863,69.33383,44.48,47.14,0,0,43.93,42.33,0,0,3.204301,50.85007,94.38203,90.8046,94.59459,57.05645,,31.51106,,0,2,2,4
105001008389,67.32115,64.39826,61.90729,61.5792,44.48,46.075,0,0,46.27,43.715,0,0,61.03226,54.50539,94.51219,94.57364,90.2439,50.65472,,35.8776,,0,6,0,8
105001008451,61.29272,61.9013,58.50689,53.31554,44.48,45.01,0,0,46.27,45.01,0,0,51.93589,54.67541,92.35669,89.76378,87.5,50.70572,,27.17856,,0,2,2,8
105001008486,74.19608,67.02691,67.19371,65.40299,44.48,49.19,0,0,46.27,39.53,1.818182,0,42.87234,31.33151,62.71186,78.125,87.27273,57.22581,,56.95339,,0,6,2,12
105001009652,74.03514,69.53638,69.97217,66.22906,40.82,45.01,0,0,46.215,42.33,0,0,51.81736,50.05107,98.73418,98.11321,89.70589,,19.40146,,30.38555,0,4,0,9
105001009695,69.98434,67.44294,66.59343,73.13779,44.48,49.19,0,0,48.28,45.01,0,0,63.96815,54.67541,90.10989,93.82716,100,49.75956,,49.16038,,0,20,0,34
105001009709,67.68205,68.19932,65.22505,64.40977,44.48,47.14,0,0,43.93,42.42,0,0,3.204301,52.55022,96.61745,85.04673,86.48649,,50.54099,,50.60109,2,6,0,16
105001009865,71.14523,67.33195,66.53763,62.98752,47.67,48.165,0,0,46.27,42.42,0,0,42.86321,40.14207,94.65649,85.10638,86.53846,,58.18608,,67.63155,0,8,2,16
105001010111,67.22665,63.90145,63.47788,65.65635,,,,,44.05,39.53,0,0,,,89.56522,78.37838,85.29411,42.27151,,48.03585,,0,16,0,5
105001010367,72.65508,68.32257,63.01791,72.61498,44.48,49.19,0,0,46.27,45.01,0,0,42.87234,54.67541,100,100,92.06349,,66.98792,,100.9638,2,18,7,25
105001010448,78.87188,75.36131,72.79828,71.03245,44.48,45.01,0,0,46.16,42.42,0,0,50.86917,52.55022,94.77064,93.95604,90.55118,,39.94012,,53.58457,0,4,0,7
105001010588,70.34659,66.54921,65.56603,65.8001,44.48,47.14,0,0,46.16,42.375,1.587302,0,37.6129,52.46522,94.24453,98.0695,83.33333,,,,,0,4,0,6
105001010855,70.175,67.52643,64.63004,70.66562,47.67,51.21,0,0,46.16,42.42,0,0,46.71415,40.14207,95.97701,74.44444,88.88889,54.28402,,56.98473,,,9,,6
